,WAITCLASS,SAMPLE_TIME,DB_TIME
118,Other,2016-08-18 21:06:00,0.013
119,System I/O,2016-08-18 21:06:00,0.022
120,User I/O,2016-08-18 21:06:00,0.001
121,Administrative,2016-08-18 21:07:00,0.0
122,Application,2016-08-18 21:07:00,0.0
123,CPU,2016-08-18 21:07:00,0.022
124,Cluster,2016-08-18 21:07:00,0.008
125,Commit,2016-08-18 21:07:00,0.0
126,Concurrency,2016-08-18 21:07:00,0.0
127,Configuration,2016-08-18 21:07:00,0.0
128,Network,2016-08-18 21:07:00,0.003
129,Other,2016-08-18 21:07:00,0.02
130,System I/O,2016-08-18 21:07:00,0.006
131,User I/O,2016-08-18 21:07:00,0.0
132,Administrative,2016-08-18 21:08:00,0.0
133,Application,2016-08-18 21:08:00,0.0
134,CPU,2016-08-18 21:08:00,0.007
135,Cluster,2016-08-18 21:08:00,0.0
136,Commit,2016-08-18 21:08:00,0.0
137,Concurrency,2016-08-18 21:08:00,0.0
138,Configuration,2016-08-18 21:08:00,0.0
139,Network,2016-08-18 21:08:00,0.002
140,Other,2016-08-18 21:08:00,0.018
141,System I/O,2016-08-18 21:08:00,0.004
142,User I/O,2016-08-18 21:08:00,0.0
143,Administrative,2016-08-18 21:09:00,0.0
144,Application,2016-08-18 21:09:00,0.0
145,CPU,2016-08-18 21:09:00,0.009
146,Cluster,2016-08-18 21:09:00,0.0
147,Commit,2016-08-18 21:09:00,0.0
148,Concurrency,2016-08-18 21:09:00,0.0
149,Configuration,2016-08-18 21:09:00,0.0
150,Network,2016-08-18 21:09:00,0.002
151,Other,2016-08-18 21:09:00,0.017
152,System I/O,2016-08-18 21:09:00,0.025
153,User I/O,2016-08-18 21:09:00,0.0
154,Administrative,2016-08-18 21:10:00,0.0
155,Application,2016-08-18 21:10:00,0.0
156,CPU,2016-08-18 21:10:00,0.004
157,Cluster,2016-08-18 21:10:00,0.0
158,Commit,2016-08-18 21:10:00,0.0
159,Concurrency,2016-08-18 21:10:00,0.0
160,Configuration,2016-08-18 21:10:00,0.0
161,Network,2016-08-18 21:10:00,0.002
162,Other,2016-08-18 21:10:00,0.014
163,System I/O,2016-08-18 21:10:00,0.002
164,User I/O,2016-08-18 21:10:00,0.0
165,Administrative,2016-08-18 21:11:00,0.0
166,Application,2016-08-18 21:11:00,0.0
167,CPU,2016-08-18 21:11:00,0.013
168,Cluster,2016-08-18 21:11:00,0.0
169,Commit,2016-08-18 21:11:00,0.0
170,Concurrency,2016-08-18 21:11:00,0.0
171,Configuration,2016-08-18 21:11:00,0.0
172,Network,2016-08-18 21:11:00,0.002
173,Other,2016-08-18 21:11:00,0.013
174,System I/O,2016-08-18 21:11:00,0.002
175,User I/O,2016-08-18 21:11:00,0.002
176,Administrative,2016-08-18 21:12:00,0.0
177,Application,2016-08-18 21:12:00,0.0
178,CPU,2016-08-18 21:12:00,0.009
179,Cluster,2016-08-18 21:12:00,0.0
180,Commit,2016-08-18 21:12:00,0.0
181,Concurrency,2016-08-18 21:12:00,0.0
182,Configuration,2016-08-18 21:12:00,0.0
183,Network,2016-08-18 21:12:00,0.002
184,Other,2016-08-18 21:12:00,0.016
185,System I/O,2016-08-18 21:12:00,0.006
186,User I/O,2016-08-18 21:12:00,0.0
187,Administrative,2016-08-18 21:13:00,0.0
188,Application,2016-08-18 21:13:00,0.0
189,CPU,2016-08-18 21:13:00,0.013
190,Cluster,2016-08-18 21:13:00,0.001
191,Commit,2016-08-18 21:13:00,0.0
192,Concurrency,2016-08-18 21:13:00,0.0
193,Configuration,2016-08-18 21:13:00,0.0
194,Network,2016-08-18 21:13:00,0.002
195,Other,2016-08-18 21:13:00,0.02
196,System I/O,2016-08-18 21:13:00,0.002
197,User I/O,2016-08-18 21:13:00,0.005
198,Administrative,2016-08-18 21:14:00,0.0
199,Application,2016-08-18 21:14:00,0.0
200,CPU,2016-08-18 21:14:00,0.005
201,Cluster,2016-08-18 21:14:00,0.0
202,Commit,2016-08-18 21:14:00,0.0
203,Concurrency,2016-08-18 21:14:00,0.0
204,Configuration,2016-08-18 21:14:00,0.0
205,Network,2016-08-18 21:14:00,0.003
206,Other,2016-08-18 21:14:00,0.015
207,System I/O,2016-08-18 21:14:00,0.002
208,User I/O,2016-08-18 21:14:00,0.0
209,Administrative,2016-08-18 21:15:00,0.0
210,Application,2016-08-18 21:15:00,0.0
211,CPU,2016-08-18 21:15:00,0.319
212,Cluster,2016-08-18 21:15:00,0.002
213,Commit,2016-08-18 21:15:00,0.0
214,Concurrency,2016-08-18 21:15:00,0.0
215,Configuration,2016-08-18 21:15:00,0.0
216,Network,2016-08-18 21:15:00,0.002
217,Other,2016-08-18 21:15:00,0.018
218,System I/O,2016-08-18 21:15:00,0.002
219,User I/O,2016-08-18 21:15:00,0.014
220,Administrative,2016-08-18 21:16:00,0.0
221,Application,2016-08-18 21:16:00,0.0
222,CPU,2016-08-18 21:16:00,0.013
223,Cluster,2016-08-18 21:16:00,0.0
224,Commit,2016-08-18 21:16:00,0.0
