,WAITCLASS,SAMPLE_TIME,DB_TIME
593,User I/O,2016-08-18 21:49:00,0.498
594,Administrative,2016-08-18 21:50:00,0.0
595,Application,2016-08-18 21:50:00,0.0
596,CPU,2016-08-18 21:50:00,0.47
597,Cluster,2016-08-18 21:50:00,0.0
598,Commit,2016-08-18 21:50:00,0.0
599,Concurrency,2016-08-18 21:50:00,0.0
600,Configuration,2016-08-18 21:50:00,0.0
601,Network,2016-08-18 21:50:00,0.002
602,Other,2016-08-18 21:50:00,0.018
603,System I/O,2016-08-18 21:50:00,0.012
604,User I/O,2016-08-18 21:50:00,0.565
605,Administrative,2016-08-18 21:51:00,0.0
606,Application,2016-08-18 21:51:00,0.0
607,CPU,2016-08-18 21:51:00,0.548
608,Cluster,2016-08-18 21:51:00,0.0
609,Commit,2016-08-18 21:51:00,0.0
610,Concurrency,2016-08-18 21:51:00,0.0
611,Configuration,2016-08-18 21:51:00,0.0
612,Network,2016-08-18 21:51:00,0.002
613,Other,2016-08-18 21:51:00,0.013
614,System I/O,2016-08-18 21:51:00,0.002
615,User I/O,2016-08-18 21:51:00,0.489
616,Administrative,2016-08-18 21:52:00,0.0
617,Application,2016-08-18 21:52:00,0.0
618,CPU,2016-08-18 21:52:00,0.606
619,Cluster,2016-08-18 21:52:00,0.0
620,Commit,2016-08-18 21:52:00,0.0
621,Concurrency,2016-08-18 21:52:00,0.0
622,Configuration,2016-08-18 21:52:00,0.0
623,Network,2016-08-18 21:52:00,0.002
624,Other,2016-08-18 21:52:00,0.016
625,System I/O,2016-08-18 21:52:00,0.002
626,User I/O,2016-08-18 21:52:00,0.433
627,Administrative,2016-08-18 21:53:00,0.0
628,Application,2016-08-18 21:53:00,0.0
629,CPU,2016-08-18 21:53:00,0.607
630,Cluster,2016-08-18 21:53:00,0.001
631,Commit,2016-08-18 21:53:00,0.0
632,Concurrency,2016-08-18 21:53:00,0.0
633,Configuration,2016-08-18 21:53:00,0.0
634,Network,2016-08-18 21:53:00,0.002
635,Other,2016-08-18 21:53:00,0.018
636,System I/O,2016-08-18 21:53:00,0.002
637,User I/O,2016-08-18 21:53:00,0.421
638,Administrative,2016-08-18 21:54:00,0.0
639,Application,2016-08-18 21:54:00,0.0
640,CPU,2016-08-18 21:54:00,0.659
641,Cluster,2016-08-18 21:54:00,0.0
642,Commit,2016-08-18 21:54:00,0.0
643,Concurrency,2016-08-18 21:54:00,0.0
644,Configuration,2016-08-18 21:54:00,0.0
645,Network,2016-08-18 21:54:00,0.003
646,Other,2016-08-18 21:54:00,0.014
647,System I/O,2016-08-18 21:54:00,0.002
648,User I/O,2016-08-18 21:54:00,0.373
649,Administrative,2016-08-18 21:55:00,0.0
650,Application,2016-08-18 21:55:00,0.0
651,CPU,2016-08-18 21:55:00,0.263
652,Cluster,2016-08-18 21:55:00,0.0
653,Commit,2016-08-18 21:55:00,0.0
654,Concurrency,2016-08-18 21:55:00,0.0
655,Configuration,2016-08-18 21:55:00,0.0
656,Network,2016-08-18 21:55:00,0.002
657,Other,2016-08-18 21:55:00,0.015
658,System I/O,2016-08-18 21:55:00,0.003
659,User I/O,2016-08-18 21:55:00,0.126
660,Administrative,2016-08-18 21:56:00,0.0
661,Application,2016-08-18 21:56:00,0.0
662,CPU,2016-08-18 21:56:00,0.014
663,Cluster,2016-08-18 21:56:00,0.0
664,Commit,2016-08-18 21:56:00,0.0
665,Concurrency,2016-08-18 21:56:00,0.0
666,Configuration,2016-08-18 21:56:00,0.0
667,Network,2016-08-18 21:56:00,0.002
668,Other,2016-08-18 21:56:00,0.014
669,System I/O,2016-08-18 21:56:00,0.003
670,User I/O,2016-08-18 21:56:00,0.0
